"Name Of Area","Latitide","Longitude","Climb Name","Climb Grade","Tide Season","Tide Height","Hours to be inaccesible","Lead","Date...11","2nd","Date...13"
"Fort Doyle",49.505962,-2.50531,"Grail Trail","VS 4c","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Watsons Wall","E1 5b","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Flake Wall","S","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"The Direct","VS 4c","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"The Strop","E1 5c","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Chimney Climb","D","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Grunt","Vs 4c","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Strolling","VD","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Baskerville's Bulge a.k.a Garden of Eden","E1 5c","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Bloodhound","HVS 5a","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Sniffer a.k.a Cold North Wind","HVS 5a","All","High",2,NA,NA,NA,NA
"Fort Doyle",49.505962,-2.50531,"Quarry Climb","HS 3c","All","High",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 1","VD","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 2","S","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 2.5","VS 4c","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 3","HS 4b","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 4","HS 4b","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 5","D","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Route 6","VS 4c","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Typo","S","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Surgeons Slab","VD","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Scalpel","VS 4c","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Side Step","S","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Erazor","HVS 5a","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Unknown Name","HVS 5a","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Rugosity Wal","HS 4b","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Barnacle Ball","VS 4c","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Limpet","VD","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Hobbiton","M/D","Spring","Low",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Cheap Skate","S/HS 4b","Spring","Low",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Travelling Man","S/HS 4b","Spring","Low",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Lazy Days","VS 5a","Spring","Low",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Lonely Knights","VS 5a","Spring","Low",2,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Jumpin' Jugs","VD","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Richard Tater","VS 4c","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Muscle Leany","HVS 5b","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Hand Drop Off","HVS 5b","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Star Lean","S","All","All",0,NA,NA,NA,NA
"Fort Le Marchant",49.508806,-2.518704,"Unknown Name","?? ??","Spring","Low",2,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Bum of Snitter","HS 4b","All","High",2,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Glob","VD","All","High",3,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Blog","S","All","High",4,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Dougal","HVS 4c","All","High",5,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Absent Friends","HS 4b","All","High",6,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Snivelling Twin of Snitter","E3 6a","All","High",7,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Snitter","VD","All","High",8,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Son of Snitter","E1 5c","All","High",9,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"Dillan","S","All","High",10,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"May Day","D","All","High",11,NA,NA,NA,NA
"Martello Wall",49.505806,-2.520525,"The Flying Squirrel","VS 4c","All","High",12,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Saturday Morning Blues","VD","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Yeovil","D","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Satanic Curses","HVS 5b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Fish Fingers","S","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Jack Frost","D","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Mr Plod","HS 4b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Captain Birdseye","HS 5b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Plecko","E1 5a","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Greased Whippet","HVS 5a","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"The Last Gasp","VD","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"No Ming for Tim","HS 4c","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Bark at the Moon","E1 5b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Smear Test","E1 5c","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Papillion","E1 5b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Lunar Antics","VD","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Lunar Antics Variation","S","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Sea of Tranquillity","HVS 5a","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"Dark Side of the Moon a.k.a Paul G's Climb","E1 5b","All","High",1,NA,NA,NA,NA
"Fort Pembroke",49.507562,-2.532079,"One Small Step for Man","Vs 5a","All","High",1,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Slipper","D","All","High",2,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"The Winkler","M/D","All","High",2,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Corpuscle","HS 4a","All","High",2,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Corner Climb","S","All","High",2,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Close to the Edge","VS 4c","All","High",2,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Salamander","VS 5a","All","All",0,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"The Swinging Salmon","HS 4b","All","All",0,NA,NA,NA,NA
"Port Solif",49.488924,-2.579693,"Salt 'n' Wound","E5 6b","All","All",0,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Hill Climb","VS 4c","All","High",2,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Two Churchills","E1 5c/6a","All","High",2,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Lilo Islands","E4 6b","All","All",0,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Hissing in the Pebbles","E3 6a","All","All",0,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Quarter Moon","E3 5c","All","All",0,NA,NA,NA,NA
"Grandes Rocques",49.487917,-2.588829,"Something to Prove","E1 5b","All","All",0,NA,NA,NA,NA
"Le Guet",49.474174,-2.594704,"Beaker's Corner","E2 6a","All","All",0,NA,NA,NA,NA
"Le Guet",49.474174,-2.594704,"Island Games","E5 6b","All","All",0,NA,NA,NA,NA
"Le Guet",49.474174,-2.594704,"Frigid Digits","HVS 5a","All","All",0,NA,NA,NA,NA
"Le Guet",49.474174,-2.594704,"Bored of Administration","E6 6b","All","All",0,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Goldfinger","D","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Fort Knocks","S","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"The BB's","HVS 4b","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"The Dark Night","VD","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Old Boys Climb Again","D","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"So Severe No Gear","S","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"FFF (Fucked February Fumble)","VD","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Nala","D","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Nala Variation","HVD","Spring","High",3,NA,NA,NA,NA
"Chateau D'Albecq (Lion Rock)",49.475368,-2.603743,"Sea Spray","VS","Spring","High",3,NA,NA,NA,NA
